description,answer
兔子只吃紅蘿蔔？,不是。兔子不見得最愛吃紅蘿蔔，雅雅曾經養過的十幾隻兔兔都不愛吃紅蘿蔔。兔子也不能只靠紅蘿蔔生存，紅蘿蔔是涼性蔬菜，過量食用容易拉肚子及維生素A中毒，尤其3個月內幼兔是更不建議餵食紅蘿蔔。 
兔子吃紅蘿蔔所以眼睛是紅色？,不是。這是純屬人類聯想虛構，人類吃再多量的紅蘿蔔也不可能讓眼睛變紅色，兔子又如何有此神奇的魔法？其實，那是因為瞳孔的膜(虹彩)完全沒有顏色，可以透視到裡面的血液，於是呈現紅色眼睛，一旦血液停止循環了，眼睛就會變成有透明感、白濁的顏色。 
迷你兔不會長大？,會長大。世上確實是有體型不超過兩隻手掌大小的兔子(最小型的品種是波麗敘兔Polish，不到1公斤)，但是目前台灣商人引進與販賣的迷你兔大多都是1公斤～2.7公斤的小型兔品種，不是一般人想像的永遠只有剛買來的幼兔大小！請記得世界上只有一種兔子不會長大，那就是上天堂的兔子！不要相信不肖商人說迷你兔不會長大的謊言，您所看到的小兔子極可能是容易夭折的未斷奶幼兔哦！ 
捉兔子要捉耳朵？,不對。沒有人喜歡被拎著耳朵走！耳朵是兔子的重要器官，兔子沒有汗腺，必須靠耳朵散熱，兔子的耳朵不是長來讓人抓的，如果把兔耳抓傷造成神經受傷，將造成兔子的耳朵直不起來、無法轉動。請制止您身旁每一個抓兔子耳朵的人！ 
兔子有兩顆大門牙？,不對。事實上，兔子有四顆門牙才是真的！打開兔嘴巴便知！ 
兔子是齧齒類動物？,不是。兔子不是齧齒類動物，兔子是兔形目兔科動物，差別在於齧齒類動物只有二顆上門牙，而兔科動物有四顆上門牙！ 
白色毛、紅眼睛才是兔子？,兔子有很多不同品種，有不同外型特色，當然也有不同毛色與眼睛顏色，並非如一般人的刻板印象一定要白毛紅眼才是正常的兔子！
兔子易骨折嗎？,兔子易骨折。勿將兔子置於高處，避免不慎摔傷。
兔子要剪指甲嗎？,要。兔兔和貓咪，狗狗一樣，指甲會一直長長，養在室內的兔兔要定期修剪
兔子可以吃麵、飯、吐司嗎？,"不可以。麵食類兔兔的腸胃無法消化
，加工調味料更不適合兔兔"
兔子需要結紮嗎？,"需要。兔子不論公母兔，都建議要結紮。
1 可預防生殖器官病變。
2 舒緩賀爾蒙引起的各種身體不適、暴躁情緒和瘋狂行為
3 讓身體更健康以延長壽命"
兔子甩頭、跳高代表他很生氣嗎？,不是。這是傳說中的兔子舞，兔子在非常開心的狀態下，就會跳舞囉
兔子有聲帶嗎？,"有。兔子是有類聲帶的動物。
長久以來各種養兔書籍記載著兔子是沒有聲帶的錯誤說法"
兔子的鼻子一直抽動代表他很緊張嗎？,不是。無論兔子是蹦蹦跳跳還是放鬆，快樂而滿足的兔子都會不斷地擺動和抽動鼻子。
兔子露出他的門牙是在害怕嗎？,是的。如果他們露出牙齒，那就是恐懼的極端信號和“最後的警告”。
兔子會流汗嗎？,不會。兔子沒有汗腺，散熱是靠他的耳朵
兔子前腳有四根腳趾？,"不對。前腳有五根腳趾、有銳利的指甲、活動敏捷、善於挖掘、有保持身體平衡
的功能、平時會用前腳整理自己的耳朵、頭部、臉部。"
